modality	feature	factor	loading
Methylation	cg20415486	Factor1	-0.73234
Methylation	cg20415486	Factor2	0.021072
Methylation	cg20415486	Factor3	-0.008093
Methylation	cg20415486	Factor4	-0.225658
Methylation	cg20415486	Factor5	0.103866
Methylation	cg20399616	Factor1	0.539829
Methylation	cg20399616	Factor2	0.172448
Methylation	cg20399616	Factor3	0.474791
Methylation	cg20399616	Factor4	-0.012914
Methylation	cg20399616	Factor5	0.020633
Methylation	cg04131969	Factor1	-0.050071
Methylation	cg04131969	Factor2	0.04567
Methylation	cg04131969	Factor3	0.089045
Methylation	cg04131969	Factor4	0.022824
Methylation	cg04131969	Factor5	0.000115
Methylation	cg12356890	Factor1	0.440641
Methylation	cg12356890	Factor2	0.191557
Methylation	cg12356890	Factor3	0.395905
Methylation	cg12356890	Factor4	0.106161
Methylation	cg12356890	Factor5	-0.025712
Methylation	cg03596016	Factor1	-0.135595
Methylation	cg03596016	Factor2	0.430589
Methylation	cg03596016	Factor3	0.262814
Methylation	cg03596016	Factor4	0.022161
Methylation	cg03596016	Factor5	-0.093253
Methylation	cg12539796	Factor1	0.358519
Methylation	cg12539796	Factor2	0.11397
Methylation	cg12539796	Factor3	0.371709
Methylation	cg12539796	Factor4	-0.04938
Methylation	cg12539796	Factor5	-0.028102
Methylation	cg10210594	Factor1	0.39645
Methylation	cg10210594	Factor2	0.181545
Methylation	cg10210594	Factor3	0.394339
Methylation	cg10210594	Factor4	0.231239
Methylation	cg10210594	Factor5	-0.058775
Methylation	cg12415687	Factor1	0.098796
Methylation	cg12415687	Factor2	-0.276256
Methylation	cg12415687	Factor3	-0.034716
Methylation	cg12415687	Factor4	0.026812
Methylation	cg12415687	Factor5	0.56856
Methylation	cg21189438	Factor1	0.269649
Methylation	cg21189438	Factor2	-0.023724
Methylation	cg21189438	Factor3	0.440661
Methylation	cg21189438	Factor4	-0.095853
Methylation	cg21189438	Factor5	0.043152
Methylation	cg16328106	Factor1	0.308346
Methylation	cg16328106	Factor2	0.174984
Methylation	cg16328106	Factor3	0.231893
Methylation	cg16328106	Factor4	0.17472
Methylation	cg16328106	Factor5	-0.002985
Methylation	cg10069493	Factor1	0.467064
Methylation	cg10069493	Factor2	0.121628
Methylation	cg10069493	Factor3	0.351686
Methylation	cg10069493	Factor4	-0.00256
Methylation	cg10069493	Factor5	-0.018109
Methylation	cg22831607	Factor1	0.488968
Methylation	cg22831607	Factor2	0.069547
Methylation	cg22831607	Factor3	0.477423
Methylation	cg22831607	Factor4	-0.094218
Methylation	cg22831607	Factor5	0.152168
Methylation	cg08862890	Factor1	0.51341
Methylation	cg08862890	Factor2	0.076388
Methylation	cg08862890	Factor3	0.523307
Methylation	cg08862890	Factor4	0.084352
Methylation	cg08862890	Factor5	0.088834
Methylation	cg15673034	Factor1	-0.131081
Methylation	cg15673034	Factor2	0.265718
Methylation	cg15673034	Factor3	0.18585
Methylation	cg15673034	Factor4	0.059113
Methylation	cg15673034	Factor5	-0.009514
Methylation	cg06404175	Factor1	0.355303
Methylation	cg06404175	Factor2	0.362231
Methylation	cg06404175	Factor3	0.452416
Methylation	cg06404175	Factor4	0.069916
Methylation	cg06404175	Factor5	-0.009168
Methylation	cg02467990	Factor1	0.604587
Methylation	cg02467990	Factor2	-0.006013
Methylation	cg02467990	Factor3	0.45968
Methylation	cg02467990	Factor4	-0.027443
Methylation	cg02467990	Factor5	-0.000174
Methylation	cg14866200	Factor1	0.638761
Methylation	cg14866200	Factor2	-0.038617
Methylation	cg14866200	Factor3	0.37074
Methylation	cg14866200	Factor4	0.132886
Methylation	cg14866200	Factor5	0.008812
Methylation	cg20776829	Factor1	0.567822
Methylation	cg20776829	Factor2	0.079101
Methylation	cg20776829	Factor3	0.42129
Methylation	cg20776829	Factor4	-0.019225
Methylation	cg20776829	Factor5	-0.006323
Methylation	cg07834955	Factor1	0.370735
Methylation	cg07834955	Factor2	0.123352
Methylation	cg07834955	Factor3	0.4204
Methylation	cg07834955	Factor4	-0.122612
Methylation	cg07834955	Factor5	0.188803
Methylation	cg00211215	Factor1	0.04764
Methylation	cg00211215	Factor2	0.017688
Methylation	cg00211215	Factor3	0.143287
Methylation	cg00211215	Factor4	0.012626
Methylation	cg00211215	Factor5	0.013592
Methylation	cg23179456	Factor1	0.620691
Methylation	cg23179456	Factor2	-0.003715
Methylation	cg23179456	Factor3	0.389774
Methylation	cg23179456	Factor4	0.012801
Methylation	cg23179456	Factor5	-0.125453
Methylation	cg14117138	Factor1	0.602627
Methylation	cg14117138	Factor2	-0.002902
Methylation	cg14117138	Factor3	0.422477
Methylation	cg14117138	Factor4	-0.040568
Methylation	cg14117138	Factor5	0.002131
Methylation	cg21941030	Factor1	0.681285
Methylation	cg21941030	Factor2	-0.017817
Methylation	cg21941030	Factor3	0.238575
Methylation	cg21941030	Factor4	0.197009
Methylation	cg21941030	Factor5	-0.001566
Methylation	cg04187185	Factor1	-0.069807
Methylation	cg04187185	Factor2	0.181325
Methylation	cg04187185	Factor3	0.118311
Methylation	cg04187185	Factor4	0.180586
Methylation	cg04187185	Factor5	0.016657
Methylation	cg14802502	Factor1	-0.149689
Methylation	cg14802502	Factor2	-0.25765
Methylation	cg14802502	Factor3	-0.006253
Methylation	cg14802502	Factor4	-0.019611
Methylation	cg14802502	Factor5	0.726621
Methylation	cg06741896	Factor1	-0.28851
Methylation	cg06741896	Factor2	-0.014971
Methylation	cg06741896	Factor3	0.197372
Methylation	cg06741896	Factor4	-0.028916
Methylation	cg06741896	Factor5	0.007749
Methylation	cg18888655	Factor1	0.639828
Methylation	cg18888655	Factor2	-0.188003
Methylation	cg18888655	Factor3	0.123309
Methylation	cg18888655	Factor4	0.068734
Methylation	cg18888655	Factor5	-0.016187
Methylation	cg03686593	Factor1	-0.054394
Methylation	cg03686593	Factor2	0.29129
Methylation	cg03686593	Factor3	0.387105
Methylation	cg03686593	Factor4	-0.019606
Methylation	cg03686593	Factor5	0.117562
Methylation	cg10043865	Factor1	0.588294
Methylation	cg10043865	Factor2	0.048023
Methylation	cg10043865	Factor3	0.370297
Methylation	cg10043865	Factor4	0.147797
Methylation	cg10043865	Factor5	0.009329
Methylation	cg22830113	Factor1	0.468069
Methylation	cg22830113	Factor2	0.010913
Methylation	cg22830113	Factor3	0.504677
Methylation	cg22830113	Factor4	-0.101397
Methylation	cg22830113	Factor5	-0.001713
Methylation	cg07486474	Factor1	0.238985
Methylation	cg07486474	Factor2	-0.348298
Methylation	cg07486474	Factor3	0.096602
Methylation	cg07486474	Factor4	-0.043079
Methylation	cg07486474	Factor5	0.483325
Methylation	cg20100745	Factor1	0.30509
Methylation	cg20100745	Factor2	-0.174886
Methylation	cg20100745	Factor3	0.158405
Methylation	cg20100745	Factor4	0.010089
Methylation	cg20100745	Factor5	0.07694
Methylation	cg03616722	Factor1	-0.242399
Methylation	cg03616722	Factor2	-0.127023
Methylation	cg03616722	Factor3	0.081171
Methylation	cg03616722	Factor4	0.005158
Methylation	cg03616722	Factor5	0.601045
Methylation	cg01567173	Factor1	-0.414817
Methylation	cg01567173	Factor2	0.014909
Methylation	cg01567173	Factor3	0.197054
Methylation	cg01567173	Factor4	0.004529
Methylation	cg01567173	Factor5	0.560929
Methylation	cg26388816	Factor1	0.213976
Methylation	cg26388816	Factor2	0.048397
Methylation	cg26388816	Factor3	0.323262
Methylation	cg26388816	Factor4	0.000438
Methylation	cg26388816	Factor5	0.01545
Methylation	cg16647921	Factor1	0.26374
Methylation	cg16647921	Factor2	0.286106
Methylation	cg16647921	Factor3	0.317046
Methylation	cg16647921	Factor4	0.188698
Methylation	cg16647921	Factor5	0.221006
Methylation	cg01163842	Factor1	0.460024
Methylation	cg01163842	Factor2	0.109323
Methylation	cg01163842	Factor3	0.499507
Methylation	cg01163842	Factor4	0.008724
Methylation	cg01163842	Factor5	0.050317
Methylation	cg22473620	Factor1	0.512059
Methylation	cg22473620	Factor2	0.186547
Methylation	cg22473620	Factor3	0.366606
Methylation	cg22473620	Factor4	0.069011
Methylation	cg22473620	Factor5	-0.058019
Methylation	cg08599635	Factor1	0.218723
Methylation	cg08599635	Factor2	-0.190144
Methylation	cg08599635	Factor3	0.099009
Methylation	cg08599635	Factor4	0.158587
Methylation	cg08599635	Factor5	0.141732
Methylation	cg12747584	Factor1	-0.481123
Methylation	cg12747584	Factor2	-0.061491
Methylation	cg12747584	Factor3	0.164111
Methylation	cg12747584	Factor4	-0.046677
Methylation	cg12747584	Factor5	0.554245
Methylation	cg25267258	Factor1	-0.399217
Methylation	cg25267258	Factor2	-0.044813
Methylation	cg25267258	Factor3	0.013612
Methylation	cg25267258	Factor4	0.072234
Methylation	cg25267258	Factor5	0.604104
Methylation	cg05527869	Factor1	0.614261
Methylation	cg05527869	Factor2	0.011077
Methylation	cg05527869	Factor3	0.360646
Methylation	cg05527869	Factor4	0.142352
Methylation	cg05527869	Factor5	0.005211
Methylation	cg25218716	Factor1	0.198701
Methylation	cg25218716	Factor2	0.259823
Methylation	cg25218716	Factor3	0.340981
Methylation	cg25218716	Factor4	0.096212
Methylation	cg25218716	Factor5	0.124088
Methylation	cg08750951	Factor1	0.651134
Methylation	cg08750951	Factor2	-0.092551
Methylation	cg08750951	Factor3	0.306228
Methylation	cg08750951	Factor4	0.012075
Methylation	cg08750951	Factor5	0.068965
Methylation	cg25737323	Factor1	0.517324
Methylation	cg25737323	Factor2	0.090788
Methylation	cg25737323	Factor3	0.394569
Methylation	cg25737323	Factor4	-0.059163
Methylation	cg25737323	Factor5	-0.001633
Methylation	cg09695735	Factor1	0.430122
Methylation	cg09695735	Factor2	0.181601
Methylation	cg09695735	Factor3	0.493161
Methylation	cg09695735	Factor4	0.081033
Methylation	cg09695735	Factor5	-0.056133
Methylation	cg06644655	Factor1	-0.236913
Methylation	cg06644655	Factor2	-0.217728
Methylation	cg06644655	Factor3	0.10824
Methylation	cg06644655	Factor4	0.004786
Methylation	cg06644655	Factor5	0.720468
Methylation	cg18249580	Factor1	-0.14593
Methylation	cg18249580	Factor2	0.329663
Methylation	cg18249580	Factor3	0.327276
Methylation	cg18249580	Factor4	0.168042
Methylation	cg18249580	Factor5	0.396138
Methylation	cg08539872	Factor1	0.538676
Methylation	cg08539872	Factor2	-0.003494
Methylation	cg08539872	Factor3	0.240808
Methylation	cg08539872	Factor4	0.17435
Methylation	cg08539872	Factor5	-0.007087
Methylation	cg25830696	Factor1	0.588469
Methylation	cg25830696	Factor2	0.073454
Methylation	cg25830696	Factor3	0.393787
Methylation	cg25830696	Factor4	0.178997
Methylation	cg25830696	Factor5	-0.013805
Methylation	cg17935217	Factor1	-0.312484
Methylation	cg17935217	Factor2	0.37395
Methylation	cg17935217	Factor3	0.22809
Methylation	cg17935217	Factor4	-0.073168
Methylation	cg17935217	Factor5	-0.000845
Methylation	cg00773902	Factor1	0.470239
Methylation	cg00773902	Factor2	0.061151
Methylation	cg00773902	Factor3	0.469212
Methylation	cg00773902	Factor4	-0.075905
Methylation	cg00773902	Factor5	0.057282
Methylation	cg12247222	Factor1	0.598709
Methylation	cg12247222	Factor2	-0.156405
Methylation	cg12247222	Factor3	0.140941
Methylation	cg12247222	Factor4	0.036933
Methylation	cg12247222	Factor5	-0.048228
Methylation	cg00399591	Factor1	0.402857
Methylation	cg00399591	Factor2	-0.357745
Methylation	cg00399591	Factor3	0.017737
Methylation	cg00399591	Factor4	0.100444
Methylation	cg00399591	Factor5	0.122553
Methylation	cg18096251	Factor1	-0.21031
Methylation	cg18096251	Factor2	-0.072019
Methylation	cg18096251	Factor3	0.057223
Methylation	cg18096251	Factor4	-0.129481
Methylation	cg18096251	Factor5	0.58664
Methylation	cg22761670	Factor1	0.373856
Methylation	cg22761670	Factor2	0.097873
Methylation	cg22761670	Factor3	0.27019
Methylation	cg22761670	Factor4	0.044947
Methylation	cg22761670	Factor5	-0.004601
Methylation	cg12542255	Factor1	-0.559561
Methylation	cg12542255	Factor2	-0.007415
Methylation	cg12542255	Factor3	0.111408
Methylation	cg12542255	Factor4	-0.251735
Methylation	cg12542255	Factor5	0.025273
RNA-seq	CLEC3A	Factor1	0.243493
RNA-seq	CLEC3A	Factor2	-0.194479
RNA-seq	CLEC3A	Factor3	-0.073227
RNA-seq	CLEC3A	Factor4	-0.154378
RNA-seq	CLEC3A	Factor5	-0.048769
RNA-seq	CPB1	Factor1	0.408739
RNA-seq	CPB1	Factor2	-0.168649
RNA-seq	CPB1	Factor3	-0.217452
RNA-seq	CPB1	Factor4	0.290902
RNA-seq	CPB1	Factor5	-0.014306
RNA-seq	SCGB2A2	Factor1	0.2546
RNA-seq	SCGB2A2	Factor2	-0.554535
RNA-seq	SCGB2A2	Factor3	0.007522
RNA-seq	SCGB2A2	Factor4	-0.14025
RNA-seq	SCGB2A2	Factor5	-0.00542
RNA-seq	SCGB1D2	Factor1	0.256566
RNA-seq	SCGB1D2	Factor2	-0.521807
RNA-seq	SCGB1D2	Factor3	-0.002393
RNA-seq	SCGB1D2	Factor4	-0.084775
RNA-seq	SCGB1D2	Factor5	-0.001122
RNA-seq	TFF1	Factor1	0.603471
RNA-seq	TFF1	Factor2	-0.53355
RNA-seq	TFF1	Factor3	-0.036559
RNA-seq	TFF1	Factor4	0.018323
RNA-seq	TFF1	Factor5	0.041194
RNA-seq	PIP	Factor1	0.307562
RNA-seq	PIP	Factor2	-0.501254
RNA-seq	PIP	Factor3	-0.081643
RNA-seq	PIP	Factor4	-0.410211
RNA-seq	PIP	Factor5	-0.042109
RNA-seq	GSTM1	Factor1	0.057264
RNA-seq	GSTM1	Factor2	-0.058672
RNA-seq	GSTM1	Factor3	-0.011961
RNA-seq	GSTM1	Factor4	0.002678
RNA-seq	GSTM1	Factor5	-0.002847
RNA-seq	MUCL1	Factor1	-0.043046
RNA-seq	MUCL1	Factor2	-0.438817
RNA-seq	MUCL1	Factor3	0.220223
RNA-seq	MUCL1	Factor4	-0.458093
RNA-seq	MUCL1	Factor5	-0.04473
RNA-seq	S100A7	Factor1	-0.325309
RNA-seq	S100A7	Factor2	0.027167
RNA-seq	S100A7	Factor3	0.218724
RNA-seq	S100A7	Factor4	-0.369273
RNA-seq	S100A7	Factor5	0.002744
RNA-seq	ANKRD30A	Factor1	0.462484
RNA-seq	ANKRD30A	Factor2	-0.527648
RNA-seq	ANKRD30A	Factor3	-0.064012
RNA-seq	ANKRD30A	Factor4	-0.088206
RNA-seq	ANKRD30A	Factor5	0.113353
RNA-seq	CYP2B7P1	Factor1	0.588374
RNA-seq	CYP2B7P1	Factor2	-0.314698
RNA-seq	CYP2B7P1	Factor3	-0.137257
RNA-seq	CYP2B7P1	Factor4	0.0143
RNA-seq	CYP2B7P1	Factor5	-0.027777
RNA-seq	AGR3	Factor1	0.708804
RNA-seq	AGR3	Factor2	-0.458549
RNA-seq	AGR3	Factor3	-0.052026
RNA-seq	AGR3	Factor4	0.175785
RNA-seq	AGR3	Factor5	0.024415
RNA-seq	PRAME	Factor1	-0.404968
RNA-seq	PRAME	Factor2	0.326412
RNA-seq	PRAME	Factor3	0.00138
RNA-seq	PRAME	Factor4	0.038111
RNA-seq	PRAME	Factor5	-0.037621
RNA-seq	MUC6	Factor1	0.044304
RNA-seq	MUC6	Factor2	-0.375795
RNA-seq	MUC6	Factor3	-0.048105
RNA-seq	MUC6	Factor4	-0.156799
RNA-seq	MUC6	Factor5	0.001332
RNA-seq	CYP4Z1	Factor1	0.236113
RNA-seq	CYP4Z1	Factor2	-0.48451
RNA-seq	CYP4Z1	Factor3	0.081561
RNA-seq	CYP4Z1	Factor4	-0.37981
RNA-seq	CYP4Z1	Factor5	0.004895
RNA-seq	HMGCS2	Factor1	0.259839
RNA-seq	HMGCS2	Factor2	-0.565217
RNA-seq	HMGCS2	Factor3	0.10346
RNA-seq	HMGCS2	Factor4	-0.340557
RNA-seq	HMGCS2	Factor5	-0.06718
RNA-seq	DHRS2	Factor1	0.374381
RNA-seq	DHRS2	Factor2	-0.177454
RNA-seq	DHRS2	Factor3	0.19526
RNA-seq	DHRS2	Factor4	-0.000102
RNA-seq	DHRS2	Factor5	-0.075009
RNA-seq	KCNJ3	Factor1	0.502122
RNA-seq	KCNJ3	Factor2	-0.065178
RNA-seq	KCNJ3	Factor3	-0.200201
RNA-seq	KCNJ3	Factor4	0.171004
RNA-seq	KCNJ3	Factor5	-0.080347
RNA-seq	TFAP2B	Factor1	0.046524
RNA-seq	TFAP2B	Factor2	-0.545558
RNA-seq	TFAP2B	Factor3	0.155638
RNA-seq	TFAP2B	Factor4	-0.351959
RNA-seq	TFAP2B	Factor5	0.084006
RNA-seq	SERPINA6	Factor1	0.34386
RNA-seq	SERPINA6	Factor2	-0.196284
RNA-seq	SERPINA6	Factor3	-0.316329
RNA-seq	SERPINA6	Factor4	0.099251
RNA-seq	SERPINA6	Factor5	-0.120773
RNA-seq	TAT	Factor1	0.087717
RNA-seq	TAT	Factor2	-0.482976
RNA-seq	TAT	Factor3	-0.074759
RNA-seq	TAT	Factor4	-0.080342
RNA-seq	TAT	Factor5	0.043747
RNA-seq	UGT2B11	Factor1	0.135751
RNA-seq	UGT2B11	Factor2	-0.36587
RNA-seq	UGT2B11	Factor3	0.017461
RNA-seq	UGT2B11	Factor4	-0.387115
RNA-seq	UGT2B11	Factor5	-0.084455
RNA-seq	C4orf7	Factor1	-0.595461
RNA-seq	C4orf7	Factor2	-0.154093
RNA-seq	C4orf7	Factor3	0.057971
RNA-seq	C4orf7	Factor4	0.042674
RNA-seq	C4orf7	Factor5	0.077811
RNA-seq	SLC30A8	Factor1	0.339912
RNA-seq	SLC30A8	Factor2	-0.136852
RNA-seq	SLC30A8	Factor3	-0.039746
RNA-seq	SLC30A8	Factor4	0.012968
RNA-seq	SLC30A8	Factor5	-0.075124
RNA-seq	VSTM2A	Factor1	0.316223
RNA-seq	VSTM2A	Factor2	-0.031241
RNA-seq	VSTM2A	Factor3	0.099536
RNA-seq	VSTM2A	Factor4	0.109518
RNA-seq	VSTM2A	Factor5	0.010085
RNA-seq	COL2A1	Factor1	-0.026654
RNA-seq	COL2A1	Factor2	0.131802
RNA-seq	COL2A1	Factor3	-0.091106
RNA-seq	COL2A1	Factor4	0.41855
RNA-seq	COL2A1	Factor5	-0.074023
RNA-seq	CALML5	Factor1	-0.380067
RNA-seq	CALML5	Factor2	-0.080512
RNA-seq	CALML5	Factor3	0.268739
RNA-seq	CALML5	Factor4	-0.331228
RNA-seq	CALML5	Factor5	-0.093431
RNA-seq	ADIPOQ	Factor1	0.015367
RNA-seq	ADIPOQ	Factor2	-0.388466
RNA-seq	ADIPOQ	Factor3	0.029927
